"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.312708344E-3,-2.756090945E0,1.212961033E0,1.605799200E0,3.412609388E0
1.329370835E-2,-3.394158998E0,1.378762049E0,1.572914459E0,3.986898542E0
2.327570834E-2,-3.738724891E0,1.130517339E0,1.226513709E0,4.093955196E0
3.325670835E-2,-3.315860395E0,8.580043450E-1,1.055263381E0,3.583947881E0
4.323870834E-2,-2.501553169E0,7.037074336E-1,1.681747515E0,3.095358964E0
5.322070833E-2,-1.543635696E0,4.517732768E-1,2.267392355E0,2.779924162E0
6.320170834E-2,-9.830072907E-1,5.911029240E-1,3.156698892E0,3.358638697E0
7.318370833E-2,-7.363407442E-1,9.807739466E-1,4.192934264E0,4.368616825E0
8.316470834E-2,2.294155061E-3,1.196743049E0,5.168252174E0,5.305000445E0
9.314670833E-2,1.081610642E0,1.029465027E0,6.029560488E0,6.211705040E0
1.031277083E-1,1.991863368E0,5.594649558E-1,5.977198672E0,6.325142265E0
1.131097084E-1,2.730382784E0,7.436138034E-2,4.874205054E0,5.587342362E0
1.230917083E-1,3.417887583E0,-6.177786528E-1,3.557261231E0,4.971691207E0
1.330727084E-1,3.312881238E0,-9.628110078E-1,2.215988313E0,4.100340393E0
1.430547083E-1,2.094401603E0,-8.945516355E-1,9.407643735E-1,2.464097869E0
1.530357084E-1,8.657039586E-1,-6.477276528E-1,-3.019917315E-1,1.122583388E0
1.630177083E-1,4.753534895E-1,-4.322084932E-1,-7.977385551E-1,1.024281174E0
1.729997083E-1,5.172251084E-1,-5.645431164E-1,-8.493501735E-1,1.143514958E0
1.829807083E-1,6.172712606E-1,-6.541525733E-1,-7.419403303E-1,1.165939472E0
1.929627083E-1,6.551439688E-1,-6.405582355E-1,-5.987426037E-1,1.094541538E0
2.029437083E-1,7.578742853E-1,-6.700406277E-1,-6.023006344E-1,1.177324904E0
2.129257083E-1,1.245270408E0,-8.520169424E-1,-7.937612790E-1,1.704901237E0
2.229067083E-1,9.178970826E-1,-8.615577710E-1,-7.426139295E-1,1.461606067E0
2.328887083E-1,5.981154898E-1,-6.912017012E-1,-1.236898949E0,1.537992504E0
2.428707083E-1,4.061911610E-1,-3.441245017E-1,-1.927420034E0,1.999590188E0
2.528517084E-1,2.776784241E-1,1.369499036E-1,-2.740826204E0,2.758258302E0
2.628337083E-1,1.537630606E-1,5.749661072E-1,-2.995701656E0,3.054252366E0
2.728147084E-1,1.248319146E-1,8.786584648E-1,-2.715515946E0,2.856860262E0
2.827967083E-1,1.332909353E-1,1.123981394E0,-2.257263224E0,2.525141166E0
2.927787083E-1,1.243689613E-1,1.124285596E0,-1.927543411E0,2.234929381E0
3.027597083E-1,5.495213270E-2,1.074154346E0,-1.412445812E0,1.775339536E0
3.127417083E-1,-3.586667463E-2,1.328791013E0,-4.117866540E-1,1.391596286E0
3.227227083E-1,1.311325818E-2,1.475711954E0,2.075931126E-1,1.490299510E0
3.327047083E-1,1.964803331E-1,1.331521224E0,4.072585702E-3,1.345945719E0
3.426857083E-1,2.602503593E-1,1.219693663E0,-1.003382206E-2,1.247190266E0
3.526677083E-1,4.828031346E-2,1.217271893E0,5.583430213E-1,1.340085363E0
3.626497083E-1,-3.957500803E-1,1.052340504E0,1.350589287E0,1.757307624E0
3.726307084E-1,-1.186096293E0,8.072287323E-1,2.595238720E0,2.965418462E0
3.826127083E-1,-1.577767648E0,6.747654703E-1,3.159987951E0,3.595856371E0
3.925937084E-1,-1.122902071E0,4.689629214E-1,2.464805465E0,2.748836348E0
4.025757083E-1,-3.769673619E-1,3.023009031E-1,8.922155267E-1,1.014661901E0
4.125577083E-1,2.931378776E-1,3.002884376E-1,-1.138885581E-1,4.348259016E-1
4.225387083E-1,6.000156887E-1,3.100035864E-1,1.789797628E-1,6.986807610E-1
4.325207083E-1,5.959691231E-1,3.288862923E-1,1.087771561E0,1.283196150E0
4.425017083E-1,8.614132717E-2,3.616897568E-1,1.839725833E0,1.876920603E0
4.524837083E-1,-4.985181114E-1,1.524763808E-1,1.633288715E0,1.714468250E0
4.624647083E-1,-8.070015679E-1,-2.519193196E-1,4.843582016E-1,9.743293805E-1
4.724467083E-1,-8.203984161E-1,-8.174616520E-1,-8.805608565E-1,1.454882997E0
4.824287083E-1,-1.817633883E0,-1.265271978E0,-1.044033219E0,2.448409989E0
4.924097083E-1,-3.075660576E0,-1.080175589E0,-6.072181427E-1,3.315898243E0
5.023917083E-1,-3.235870484E0,-8.442105806E-2,4.235535908E-1,3.264564650E0
5.123727084E-1,-2.622269229E0,7.996899171E-1,1.648889086E0,3.199161623E0
5.223547083E-1,-1.026670204E0,4.874666546E-2,3.747192244E0,3.885598752E0
5.323367083E-1,3.946017603E-1,-2.282694811E0,8.272327879E0,8.590565446E0
5.423177083E-1,-8.266949902E-1,-1.899517998E0,4.892715585E0,5.313215507E0
5.522997083E-1,-4.883819631E-1,-1.753569303E0,3.086252223E0,3.583081777E0
5.622807083E-1,-8.150386389E-1,-1.245618609E0,4.256755453E-1,1.548242027E0
5.722627083E-1,-9.482939793E-1,-1.160131147E0,-1.051213599E0,1.830359468E0
5.822447083E-1,-1.488997559E0,-1.417166854E0,-8.495630121E-1,2.224237607E0
5.922257083E-1,-1.582268396E0,-1.939135808E0,9.819170773E-2,2.504688119E0
6.022077083E-1,-1.718984046E0,-2.090264259E0,1.672547505E0,3.181434579E0
6.121887083E-1,-1.456408980E0,-1.915305627E0,1.793191352E0,3.000842879E0
6.221707083E-1,-1.040366137E0,-1.510348813E0,1.034274216E0,2.105525680E0
6.321517084E-1,-6.243229296E-1,-1.563117157E0,1.287539345E-1,1.688103060E0
6.421337083E-1,-4.844648402E-1,-1.851558551E0,-5.402406263E-1,1.988676742E0
6.521157083E-1,-9.222101350E-1,-1.835147755E0,-9.105284214E-1,2.246619866E0
6.620967083E-1,-6.717199481E-1,-1.690624465E0,-1.724337464E0,2.506543130E0
6.720787083E-1,1.839931655E-1,-1.284342380E0,-2.228513049E0,2.578693321E0
6.820597083E-1,5.664821993E-1,-4.593239325E-1,-1.306390768E0,1.496174253E0
6.920417083E-1,-1.149298742E0,7.250927478E-2,-5.607105589E-1,1.280836259E0
7.020227083E-1,-2.341848753E0,-8.741686803E-1,-3.043101525E-1,2.518140411E0
7.120047083E-1,-2.025472578E0,-2.083165593E0,-6.967232269E-1,2.987899147E0
7.219867083E-1,-1.687152388E0,-8.114397508E-1,-1.441143946E0,2.362586194E0
7.319677083E-1,-1.128150240E0,-2.008287612E-1,-1.372901677E0,1.788271280E0
7.419497083E-1,-6.787026930E-1,-6.093298647E-1,-2.466765452E0,2.629990879E0
7.519307083E-1,-8.924325315E-1,-3.938745859E-1,-4.038605778E0,4.154745436E0
7.619127083E-1,-3.950963616E-1,3.317122516E-1,-5.238549154E0,5.263889379E0
7.718937084E-1,3.031358854E-1,1.121021461E0,-5.851351388E0,5.965475132E0
7.818757083E-1,4.147909534E-1,1.053494598E0,-6.427405626E0,6.526365411E0
7.918577083E-1,1.802222230E-1,1.289416301E0,-6.538760000E0,6.667117577E0
8.018387083E-1,-1.639539535E-1,1.318612034E0,-5.836278436E0,5.985629839E0
8.118207083E-1,-5.532042689E-1,9.214799640E-1,-4.853535731E0,4.971113495E0
8.218017083E-1,-1.073228586E0,5.698374778E-2,-4.072181075E0,4.211617913E0
8.317837083E-1,-1.308553507E0,-4.943104550E-1,-3.355159239E0,3.635072025E0
8.417647083E-1,-1.030028187E0,-4.996942788E-1,-2.737720748E0,2.967451319E0
8.517467083E-1,-7.707809175E-1,-2.486589852E-1,-2.076481934E0,2.228836408E0
8.617287083E-1,-2.965959209E-1,2.149474481E-1,-1.775500016E0,1.812890469E0
8.717097083E-1,4.851590509E-1,7.065637985E-1,-2.071232888E0,2.241565833E0
8.816917083E-1,7.667770366E-1,1.681211033E0,-2.676974609E0,3.252785055E0
8.916727084E-1,4.411458892E-1,1.699021651E0,-3.432013872E0,3.854867505E0
9.016547083E-1,2.271469326E-1,9.379267198E-1,-3.051853638E0,3.200798789E0
9.116367083E-1,4.141805041E-1,5.253416285E-1,-3.078711069E-1,7.364196732E-1
9.216177083E-1,8.773264691E-1,-1.665593997E-1,2.450107904E0,2.607771560E0
9.315997083E-1,1.084066181E0,-6.508605909E-1,3.749489030E0,3.956954256E0
9.415807083E-1,9.167380182E-1,-7.351464504E-1,3.997042015E0,4.166196559E0
9.515627083E-1,7.059928179E-1,-2.180523196E-1,4.305055794E0,4.368006188E0
9.615437083E-1,9.200273694E-1,-3.781458682E-1,3.843882387E0,3.970500782E0
9.715257083E-1,5.989130500E-1,2.785552141E-1,3.156259766E0,3.224634175E0
9.815077083E-1,8.746918599E-1,5.550834909E-1,2.860580689E0,3.042388109E0
9.914887083E-1,1.358452330E0,5.652804503E-1,3.375632095E0,3.682367005E0
1.001470708E0,2.014674671E0,5.723678604E-1,4.162041085E0,4.659303058E0
1.011451708E0,2.379936492E0,6.474314913E-2,5.201358524E0,5.720351377E0
1.021433708E0,2.104748251E0,-9.689856675E-1,6.424910619E0,6.829961558E0
1.031414708E0,1.439575284E0,-1.469112933E0,7.357498246E0,7.639597519E0
1.041396708E0,1.055738760E0,-1.954394702E0,6.670790130E0,7.030909183E0
1.051378708E0,7.664584364E-1,-1.596509436E0,5.079813037E0,5.379665548E0
1.061359708E0,7.572210051E-1,-1.113682620E0,2.691259941E0,3.009410690E0
1.071341708E0,1.340910829E0,-5.134223717E-1,-6.440064847E-2,1.437286272E0
