"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.864500047E-3,-4.792141137E-1,4.480200952E-1,-4.635438681E-2,6.576601718E-1
1.787650003E-2,-9.137157387E-1,4.622563112E-1,1.689874560E-1,1.037841081E0
2.788850002E-2,-7.700376633E-1,5.574074668E-1,5.316235846E-1,1.089166986E0
3.790050000E-2,-5.740980515E-1,4.131250817E-1,6.746546656E-1,9.774557911E-1
4.791249998E-2,-4.758662903E-1,1.946871382E-1,7.342377931E-1,8.963575988E-1
5.792449997E-2,-7.690965539E-1,1.270541489E-1,1.481783849E-1,7.934791111E-1
6.793650007E-2,-4.852984339E-1,2.226888692E-1,-1.572725594E-1,5.566323386E-1
7.794850005E-2,-5.365878707E-1,3.656240559E-1,-4.663569635E-1,7.994349946E-1
8.796050004E-2,-7.072236568E-1,5.269627690E-1,-3.326691484E-1,9.426154163E-1
9.797250002E-2,-5.384978637E-1,7.339080101E-1,-2.762604743E-2,9.106943038E-1
1.079845000E-1,-6.246296892E-1,8.596693397E-1,-1.408594251E-2,1.062728581E0
1.179965000E-1,-5.651807553E-1,8.502623391E-1,-4.812024593E-2,1.022101213E0
1.280085000E-1,-2.861583486E-1,6.544577980E-1,1.124264619E-1,7.230776716E-1
1.380205001E-1,-2.507093114E-1,4.435785502E-1,3.499295443E-1,6.181163119E-1
1.480335001E-1,-4.121069352E-1,3.664876896E-1,4.418773028E-1,7.066830290E-1
1.580455001E-1,-7.043558899E-1,-3.688774467E-2,1.008030742E0,1.230286106E0
1.680575000E-1,-8.300324348E-1,-3.033184648E-1,2.006113032E0,2.192132622E0
1.780695000E-1,-7.380874537E-1,-3.139481181E-1,2.211571619E0,2.352527478E0
1.880815000E-1,-3.228817865E-1,-1.876564461E-1,1.824131309E0,1.861967406E0
1.980935000E-1,-2.608707489E-1,-3.313979638E-1,1.421536770E0,1.482782839E0
2.081055000E-1,-3.790612498E-1,-6.886037832E-1,9.131058741E-1,1.204833988E0
2.181175001E-1,-2.844493537E-1,-9.718598664E-1,5.039437428E-1,1.131097843E0
2.281295001E-1,2.968225005E-1,-9.582592428E-1,2.678036463E-1,1.038307838E0
2.381415000E-1,1.211491920E0,-8.451185435E-1,-1.234820849E-1,1.482290744E0
2.481535000E-1,1.190016047E0,-1.139010127E0,-6.001782413E-1,1.753195991E0
2.581655000E-1,1.368163240E0,-1.484225646E0,-6.273416278E-1,2.113848135E0
2.681775000E-1,1.774979906E0,-1.364422629E0,4.006614491E-2,2.239153428E0
2.781895000E-1,1.353156653E0,-1.559060651E0,1.829413537E0,2.758343150E0
2.882015001E-1,1.186507425E0,-1.917164603E0,2.224667774E0,3.167406934E0
