"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.813333333E-2,-5.041067047E0,5.901627502E0,9.875863037E0,1.256082143E1
2.811433331E-2,-5.018014984E0,5.749094696E0,9.899813232E0,1.249955464E1
3.809533332E-2,-5.475164337E0,5.663323059E0,9.179960175E0,1.209637637E1
4.807633333E-2,-5.875581665E0,5.455704803E0,8.212821350E0,1.147770052E1
5.805733331E-2,-6.058950348E0,5.085075531E0,7.402705994E0,1.083369413E1
6.803833332E-2,-5.961353302E0,4.747078400E0,6.773264923E0,1.019556787E1
7.802033331E-2,-5.604196014E0,4.972359924E0,6.888375549E0,1.017747974E1
8.800133332E-2,-5.247038727E0,5.270390167E0,7.853568420E0,1.081605126E1
9.798233333E-2,-5.165608063E0,5.245392151E0,8.649912415E0,1.135863681E1
1.079633333E-1,-4.989574127E0,4.804409180E0,8.544980621E0,1.099976779E1
1.179443333E-1,-4.932393036E0,4.459676056E0,8.228089600E0,1.057916207E1
1.279253333E-1,-4.800517273E0,4.489164734E0,7.976762238E0,1.033568101E1
1.379063333E-1,-4.169729004E0,4.315974884E0,7.824977875E0,9.861265533E0
1.478873333E-1,-3.519331512E0,4.178261261E0,7.718848572E0,9.456436154E0
1.578683333E-1,-3.441493378E0,4.543052673E0,7.631280670E0,9.524686290E0
1.678493333E-1,-3.447480927E0,4.705165558E0,7.291487274E0,9.337531490E0
1.778303333E-1,-3.397634583E0,4.529880066E0,6.673721924E0,8.752273904E0
1.878113333E-1,-3.443439331E0,4.246968384E0,6.016289062E0,8.129560195E0
1.977933333E-1,-3.705544281E0,4.131857758E0,5.439239044E0,7.771012053E0
2.077743333E-1,-4.030518494E0,3.973936157E0,4.956043854E0,7.523271801E0
2.177553333E-1,-4.408482513E0,3.761228485E0,4.478985901E0,7.324129470E0
2.277363333E-1,-4.877307587E0,3.808230743E0,4.149820404E0,7.450621456E0
2.377173333E-1,-5.187612305E0,3.980372772E0,4.088897095E0,7.711923773E0
2.476983333E-1,-5.257217560E0,4.040098572E0,4.142186279E0,7.817828350E0
2.576793333E-1,-5.244044952E0,3.975732422E0,4.271068268E0,7.845283927E0
2.676603333E-1,-5.209017792E0,3.848047943E0,4.450994110E0,7.858287848E0
2.776413333E-1,-5.366041260E0,3.779340820E0,4.574038239E0,7.999977603E0
2.876223333E-1,-5.891897736E0,3.655248871E0,4.865482178E0,8.470432106E0
2.976038333E-1,-6.969806213E0,4.237987061E0,5.878276062E0,1.005449464E1
3.075858333E-1,-6.907685394E0,4.442012787E0,6.571035461E0,1.051789438E1
3.175668333E-1,-6.878645782E0,4.279600525E0,7.110812988E0,1.077935108E1
3.275478333E-1,-7.261250153E0,4.346960449E0,7.604336700E0,1.137751096E1
3.375288333E-1,-6.821464691E0,4.383484497E0,8.541088715E0,1.177699084E1
3.475098333E-1,-5.831722870E0,4.407135315E0,9.689500580E0,1.213747316E1
3.574908333E-1,-4.856351166E0,4.144132233E0,9.852361908E0,1.173997503E1
3.674718333E-1,-4.316723328E0,3.937561798E0,1.017344421E1,1.173189927E1
3.774528333E-1,-3.948339386E0,3.800746307E0,1.051084259E1,1.185381240E1
3.874338333E-1,-4.126019897E0,3.651057587E0,1.074720108E1,1.207711028E1
3.974148333E-1,-5.013973389E0,3.590882721E0,1.116528168E1,1.275530802E1
4.073958333E-1,-5.768554230E0,3.307821350E0,1.122605530E1,1.304769012E1
4.173778333E-1,-5.640720062E0,2.912792816E0,1.099358871E1,1.269492330E1
4.273588333E-1,-4.950954437E0,2.557431793E0,1.106184677E1,1.238615603E1
4.373398333E-1,-4.520299988E0,2.387235718E0,1.149818939E1,1.258333682E1
4.473208333E-1,-4.573439484E0,2.385289764E0,1.186777084E1,1.294024500E1
